x,y
8860.0,2529.0
8827.936442,2527.722526
8795.175936,2526.351008
8761.733734,2524.886802
8727.625088,2523.331264
8692.86525,2521.68575
8657.469472,2519.951616
8621.453006,2518.130218
8584.831104,2516.222912
8547.619018,2514.231054
8509.832,2512.156
8471.485302,2509.999106
8432.594176,2507.761728
8393.173874,2505.445222
8353.239648,2503.050944
8312.80675,2500.58025
8271.890432,2498.034496
8230.505946,2495.415038
8188.668544,2492.723232
8146.393478,2489.960434
8103.696,2487.128
8060.591362,2484.227286
8017.094816,2481.259648
7973.221614,2478.226442
7928.987008,2475.129024
7884.40625,2471.96875
7839.494592,2468.746976
7794.267286,2465.4650579999998
7748.739584,2462.124352
7702.926738,2458.726214
7656.844,2455.272
7610.506622,2451.763066
7563.929856,2448.200768
7517.128954,2444.586462
7470.119168,2440.921504
7422.91575,2437.20725
7375.533952,2433.445056
7327.989026,2429.636278
7280.296224,2425.782272
7232.470798,2421.884394
7184.528,2417.944
7136.483082,2413.962446
7088.351296000001,2409.941088
7040.147894,2405.881282
6991.888128,2401.784384
6943.5872500000005,2397.65175
6895.260512,2393.484736
6846.9231660000005,2389.284698
6798.590464000001,2385.052992
6750.277658,2380.790974
6702.0,2376.5
6653.772741999999,2372.181426
6605.6111359999995,2367.836608
6557.530434,2363.466902
6509.545888000001,2359.073664
6461.67275,2354.65825
6413.926272,2350.222016
6366.321706000001,2345.766318
6318.874304,2341.292512
6271.5993180000005,2336.801954
6224.512000000001,2332.296
6177.6276020000005,2327.776006
6130.961376,2323.243328
6084.528574,2318.699322
6038.344448,2314.145344
5992.42425,2309.58275
5946.783232,2305.012896
5901.436646,2300.437138
5856.399744,2295.856832
5811.6877779999995,2291.273334
5767.316000000001,2286.688
5723.299661999999,2282.102186
5679.654016,2277.517248
5636.394314,2272.934542
5593.5358080000005,2268.355424
5551.09375,2263.78125
5509.0833920000005,2259.213376
5467.519986,2254.653158
5426.4187839999995,2250.101952
5385.795037999999,2245.561114
5345.664,2241.032
5306.040922,2236.515966
5266.941056,2232.014368
5228.379654,2227.528562
5190.3719679999995,2223.059904
5152.93325,2218.60975
5116.078751999999,2214.179456
5079.8237260000005,2209.770378
5044.183424,2205.383872
5009.173097999999,2201.021294
4974.808,2196.684
4941.103381999999,2192.373346
4908.074496,2188.0906880000002
4875.736594,2183.837382
4844.104928000001,2179.614784
4813.194750000001,2175.42425
4783.021311999999,2171.267136
4753.599866,2167.1447980000003
4724.945664000001,2163.058592
4697.073958,2159.009874
4670.0,2155.0
4670.0,2155.0
4631.794347,2149.261452
4593.620776,2143.506416
4555.484369,2137.735804
4517.390208,2131.950528
4479.343375,2126.1515
4441.348952,2120.339632
4403.412021,2114.515836
4365.537664,2108.681024
4327.730963,2102.836108
4289.997,2096.982
4252.340857,2091.119612
4214.767616,2085.249856
4177.282359,2079.373644
4139.890168,2073.491888
4102.596125,2067.6055
4065.405312,2061.715392
4028.322811,2055.822476
3991.353704,2049.927664
3954.503073,2044.031868
3917.776,2038.136
3881.1775669999997,2032.240972
3844.712856,2026.347696
3808.3869489999997,2020.457084
3772.204928,2014.570048
3736.171875,2008.6875
3700.292872,2002.810352
3664.5730009999997,1996.939516
3629.017344,1991.075904
3593.630983,1985.220428
3558.419,1979.374
3523.386477,1973.537532
3488.538496,1967.711936
3453.880139,1961.898124
3419.416488,1956.097008
3385.152625,1950.3095
3351.093632,1944.536512
3317.244591,1938.778956
3283.610584,1933.037744
3250.196693,1927.313788
3217.008,1921.608
3184.0495870000004,1915.921292
3151.326536,1910.254576
3118.843929,1904.608764
3086.606848,1898.984768
3054.620375,1893.3835
3022.889592,1887.805872
2991.419581,1882.252796
2960.215424,1876.725184
2929.282203,1871.223948
2898.625,1865.75
2868.248897,1860.304252
2838.1589759999997,1854.887616
2808.360319,1849.501004
2778.858008,1844.145328
2749.6571249999997,1838.8215
2720.7627519999996,1833.530432
2692.1799710000005,1828.273036
2663.913864,1823.050224
2635.969513,1817.862908
2608.3520000000003,1812.712
2581.0664070000003,1807.598412
2554.117816,1802.523056
2527.511309,1797.486844
2501.251968,1792.4906879999999
2475.344875,1787.5355
2449.795112,1782.622192
2424.607761,1777.7516759999999
2399.787904,1772.924864
2375.340623,1768.142668
2351.271,1763.406
2327.584117,1758.715772
2304.285056,1754.0728960000001
2281.378899,1749.478284
2258.870728,1744.932848
2236.765625,1740.4375
2215.068672,1735.993152
2193.784951,1731.600716
2172.919544,1727.261104
2152.477533,1722.975228
2132.464,1718.7440000000001
2112.884027,1714.568332
2093.7426960000003,1710.449136
2075.045089,1706.387324
2056.796288,1702.383808
2039.0013750000003,1698.4395
2021.6654320000002,1694.555312
2004.793541,1690.732156
1988.3907840000002,1686.970944
1972.462243,1683.272588
1957.013,1679.638
1942.0481369999998,1676.068092
1927.572736,1672.563776
1913.591879,1669.1259639999998
1900.1106479999999,1665.755568
1887.134125,1662.4535
1874.6673920000003,1659.220672
1862.7155309999998,1656.057996
1851.2836240000001,1652.966384
1840.376753,1649.9467479999998
1830.0,1647.0
1830.0,1647.0
1827.433011,1646.24583
1824.832488,1645.48344
1822.199097,1644.71301
1819.533504,1643.93472
1816.836375,1643.14875
1814.108376,1642.35528
1811.350173,1641.55449
1808.562432,1640.74656
1805.745819,1639.93167
1802.901,1639.11
1800.028641,1638.28173
1797.129408,1637.44704
1794.203967,1636.60611
1791.252984,1635.75912
1788.277125,1634.90625
1785.277056,1634.04768
1782.253443,1633.18359
1779.206952,1632.31416
1776.138249,1631.43957
1773.048,1630.56
1769.9368709999999,1629.67563
1766.805528,1628.78664
1763.654637,1627.89321
1760.484864,1626.99552
1757.296875,1626.09375
1754.091336,1625.18808
1750.868913,1624.27869
1747.6302719999999,1623.36576
1744.3760790000001,1622.44947
1741.107,1621.53
1737.823701,1620.60753
1734.526848,1619.68224
1731.217107,1618.75431
1727.895144,1617.82392
1724.561625,1616.89125
1721.217216,1615.95648
1717.862583,1615.01979
1714.498392,1614.08136
1711.125309,1613.14137
1707.744,1612.2
1704.355131,1611.25743
1700.959368,1610.31384
1697.557377,1609.36941
1694.149824,1608.42432
1690.737375,1607.47875
1687.320696,1606.53288
1683.900453,1605.58689
1680.477312,1604.64096
1677.051939,1603.69527
1673.625,1602.75
1670.197161,1601.80533
1666.769088,1600.86144
1663.341447,1599.91851
1659.914904,1598.97672
1656.490125,1598.03625
1653.0677759999999,1597.09728
1649.648523,1596.15999
1646.233032,1595.22456
1642.821969,1594.29117
